STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,centroid_lat,centroid_lon,area_sqkm,tract_name,total_population,median_income,median_age,state,county,tract,total_households,households_no_vehicle,poverty_rate,pct_no_vehicle,pop_density_per_sqkm,nearest_facility_km,nearest_facility_index,avg_3_nearest_km,distance_score,access_score
6,37,204920,6037204920,1400000US06037204920,2049.2,Census Tract 2049.20,G5020,S,909972,0,34.0175004,-118.1974975,34.0175004210624,-118.19749758309932,1.3278700056447152,Census Tract 2049.20; Los Angeles County; California,2623,67083,35.6,6,37,204920,687,103,19.9,14.992721979621544,1975.3439635278648,0.87401410443544,3170,0.9661543497559674,98.67619919478189,98.67619919478189
6,37,205110,6037205110,1400000US06037205110,2051.1,Census Tract 2051.10,G5020,S,286962,0,34.0245059,-118.2142985,34.02450588220238,-118.2142985867593,0.4188124180478952,Census Tract 2051.10; Los Angeles County; California,3447,51389,28.5,6,37,205110,856,122,26.4,14.252336448598127,8230.414981644128,1.6401847790108903,3237,1.692520344959086,97.51574039807561,97.51574039807561
6,37,320101,6037320101,1400000US06037320101,3201.01,Census Tract 3201.01,G5020,S,680504,0,34.2992784,-118.4326573,34.299278453001016,-118.43265730538182,0.9996049847695908,Census Tract 3201.01; Los Angeles County; California,3446,100605,40.2,6,37,320101,953,24,4.9,2.5183630640083945,3447.3617604000883,0.6866618320056959,1871,0.8056700227519901,98.95996702855403,98.95996702855403
6,37,205120,6037205120,1400000US06037205120,2051.2,Census Tract 2051.20,G5020,S,1466242,0,34.0187542,-118.2117951,34.018754129863886,-118.21179521532478,2.139654668015732,Census Tract 2051.20; Los Angeles County; California,3630,29946,29.1,6,37,205120,904,172,34.4,19.02654867256637,1696.5354523150131,1.6283941425466941,2471,1.7813973239237004,97.53359875295354,97.53359875295354
6,37,206010,6037206010,1400000US06037206010,2060.1,Census Tract 2060.10,G5020,S,1418137,20551,34.0682177,-118.2320356,34.068821916211924,-118.23122232993472,2.1019108411566743,Census Tract 2060.10; Los Angeles County; California,3729,57653,39.5,6,37,206010,1508,388,28.0,25.72944297082228,1774.0999889167251,0.7233718667445538,115,0.9803072458947789,98.90436521011624,98.90436521011624
6,37,206020,6037206020,1400000US06037206020,2060.2,Census Tract 2060.20,G5020,S,843243,30290,34.057123,-118.2311021,34.057546103687464,-118.23173873883196,1.2758894863721773,Census Tract 2060.20; Los Angeles County; California,8994,118438,33.5,6,37,206020,251,14,14.4,5.577689243027888,7049.199868848554,0.16464161452647977,149,0.7351843696834265,99.75063022349812,99.75063022349812
6,37,206050,6037206050,1400000US06037206050,2060.5,Census Tract 2060.50,G5020,S,1643425,141255,34.0325743,-118.2243204,34.03151163814206,-118.22288648988388,2.6051297675860665,Census Tract 2060.50; Los Angeles County; California,2317,47431,31.9,6,37,206050,768,184,17.9,23.958333333333336,889.3990728711185,0.8663694849711636,2594,1.0632715561383728,98.68777790198013,98.68777790198013
6,37,111402,6037111402,1400000US06037111402,1114.02,Census Tract 1114.02,G5020,S,971230,0,34.2611726,-118.4957411,34.26117261150656,-118.49574104989436,1.425377581442531,Census Tract 1114.02; Los Angeles County; California,6146,56257,41.3,6,37,111402,2175,391,16.3,17.977011494252874,4311.839950351989,0.5287889571599963,1750,0.5296688990314403,99.19908472446104,99.19908472446104
6,37,111303,6037111303,1400000US06037111303,1113.03,Census Tract 1113.03,G5020,S,1563907,0,34.2612078,-118.5128459,34.2612077314566,-118.51284589970822,2.295184716206035,Census Tract 1113.03; Los Angeles County; California,4712,89688,41.1,6,37,111303,1436,13,7.3,0.9052924791086352,2052.9938033872004,0.38272809756867865,3004,0.38984783827393765,99.42031168470871,99.42031168470871
6,37,104321,6037104321,1400000US06037104321,1043.21,Census Tract 1043.21,G5020,S,519857,0,34.2716582,-118.4180839,34.271658181182225,-118.41808377475958,0.7631319468135211,Census Tract 1043.21; Los Angeles County; California,2890,36649,33.6,6,37,104321,820,225,22.9,27.439024390243905,3787.025313338376,0.28082068272243016,459,0.6484493455027436,99.57466287554938,99.57466287554938
6,37,104322,6037104322,1400000US06037104322,1043.22,Census Tract 1043.22,G5020,S,692312,0,34.2742393,-118.4218751,34.274239401787355,-118.4218749773543,1.0163493582482328,Census Tract 1043.22; Los Angeles County; California,1787,72188,33.9,6,37,104322,445,34,5.1,7.640449438202247,1758.253680683236,0.6911073294541992,459,0.8863490160009363,98.95323378126196,98.95323378126196
